,class,"Resident population (10,000)","Population density.
(person/sq km)","Number of households (10,000)",Average population per household (persons),"Urban residents per capita.
Disposable income (RMB)","The inhabitants of urban towns are per capita.
Consumer expenditure (RMB)","General public expenditure.
(Billions)","Investment in urban infrastructure.
(Billions)",Urban population density.,"A built-up area of the city.
Greening coverage (%)","Gross local product.
(Billions)",Gross domestic product per capita (RMB),"Gross domestic product of the first industry.
(Billions)","The gross value of the secondary industry.
(Billions)","The gross value of the tertiary industry.
(Billions)",Investment in environmental protection (RMB 100 million),"Number of college students per 10,000 population.","The level of education of employed persons.
(Undergraduate and above, %)","The amount of municipal household garbage cleared.
(10,000 tons)"
114,0,1516.81,1290.0,362.63,2.81,31506,24290,2884.7,2195.1,3328.0,34.93,15964.5,106821,158.8,7933.5,7872.2,2783.68,325.0,15.85,215.89
115,0,1546.95,1315.0,370.58,2.77,34101,26230,3232.35,2642.0,3492.0,36.38,16794.7,109634,162.3,7918.1,8714.3,2822.91,323.0,19.6,240.7
116,0,1562.12,1328.0,379.17,2.75,37110,28345,3699.43,2716.1,3639.0,37.22,17837.9,114747,168.5,7571.4,10098.1,2862.14,321.0,19.8,269.03
117,0,1556.87,1323.0,385.62,2.72,40278,30284,3282.54,2237.4,3276.0,36.84,18549.2,118944,169.0,7593.6,10786.6,2901.37,319.0,21.0,306.9
118,0,1559.6,1326.0,396.57,2.69,42976,29903,3103.2,1758.7,5016.0,38.0,18809.6,120711,172.7,7609.8,11027.1,2940.6,317.0,24.3,294.8
119,0,1562.33,1329.0,407.52,2.66,46119,31854,3508.71,1280.0,6756.0,39.16,14104.3,90400,185.2,4969.2,8949.9,2979.83,315.0,27.6,282.7
120,0,804.81,885.0,213.66,3.12,6761,6074,89.04,141.12,885.0,32.9,1206.8,15082,81.4,533.3,592.2,3019.06,313.0,30.9,270.6
121,0,813.8,893.0,218.66,3.08,7305,6342,119.6,167.03,893.0,33.56,1335.4,16515,85.0,582.4,668.0,3058.29,311.0,34.2,169.0
122,0,823.7,904.0,224.59,3.04,7820,6833,147.2,197.38,904.0,34.19,1467.8,17971,90.4,635.5,741.9,3097.52,309.0,37.5,176.0
123,0,836.8,919.7,229.91,3.0,8525,7251,117.78,248.28,914.0,34.95,1622.2,19569,95.1,701.9,825.2,3136.75,307.0,40.8,225.5
124,0,845.43,925.24,241.58,2.96,9564,7793,142.61,324.16,919.0,36.06,1882.2,23148,102.2,825.8,954.2,3175.98,305.0,44.1,291.0
125,0,858.0,943.44,249.95,2.87,10850,8234,210.1,507.34,943.0,37.6,2261.2,26548,109.6,1026.3,1125.3,3215.21,303.0,47.4,291.0
126,0,875.0,964.02,255.45,2.85,12356,9182,309.64,665.77,1814.0,37.78,2679.3,30921,115.9,1205.4,1358.0,3254.44,301.0,50.7,211.0
127,0,891.0,975.05,260.46,2.88,14358,10600,387.72,846.72,1893.0,37.78,3209.5,36347,129.2,1440.0,1640.3,3293.67,299.0,54.0,215.34
128,0,897.0,980.97,265.0,2.92,16712,11433,479.52,1132.3,2193.0,37.48,4115.5,46035,144.7,1867.2,2103.6,3332.9,297.0,57.3,219.03
129,0,910.0,983.69,269.9,2.92,18385,12710,503.64,1511.96,2264.0,37.46,4620.9,51144,149.1,2142.1,2329.7,3372.13,295.0,60.6,217.42
130,0,978.54,985.08,274.58,2.9,20806,14490,989.95,1873.82,2354.0,37.17,5565.9,58961,170.0,2532.8,2863.1,3411.36,293.0,63.9,219.14
131,0,1002.0,1179.66,276.5,2.89,23738,17141,1278.0,2312.36,2317.0,37.59,6762.2,68315,198.7,3254.0,3309.5,3450.59,291.0,67.2,224.4
132,0,1012.0,1191.4,281.29,2.88,27061,18813,885.55,2851.17,2309.0,38.2,8003.8,79482,301.2,3859.6,3843.1,3489.82,289.0,70.5,225.0
133,0,1022.0,1203.2,286.39,2.71,29821,20157,1122.88,3438.78,7075.0,38.21,9051.3,89000,335.4,4396.17,4319.7,3529.05,287.0,73.8,263.7
134,0,1033.8,1217.09,288.02,2.64,33270,20157,1175.1,3676.3,4369.0,39.21,10069.5,98000,350.1,4785.7,4933.8,3568.28,285.0,77.1,257.36
135,0,1060.77,1248.85,297.1,2.66,36436,23943,1338.05,4032.8,4413.0,39.65,10905.6,104132,359.8,4981.5,5564.3,3607.51,283.0,80.4,330.68
136,0,1076.62,1267.51,302.12,2.65,39737,26535,1524.68,4020.99,4457.0,39.65,11912.6,111469,390.6,5227.1,6294.9,3646.74,281.0,83.7,356.29
137,0,1089.29,1282.42,310.88,2.66,43405,28546,1718.62,3920.72,5981.0,39.55,13410.3,123831,408.2,5861.4,7140.8,3685.97,279.0,87.0,396.38
138,3,1121.2,1297.33,319.64,2.67,47359,31201,1929.54,4352.0,7505.0,39.55,14847.3,135136,362.0,6377.8,8107.5,3725.2,277.0,90.3,436.47
139,3,1153.11,1312.24,328.4,2.68,51706,34009,2237.1,4913.41,9029.0,40.02,16223.2,145545,379.0,5988.9,9855.3,3764.43,275.0,93.6,476.56
140,0,614.85,825.97,177.46,2.69,8233,7048,101.29,144.02,2966.0,40.96,1073.5,19838,57.6,491.9,524.1,20.83,273.0,96.9,99.24
141,0,628.39,838.24,180.25,2.7,8848,7326,113.35,168.2,1431.0,40.0,1218.5,22196,61.9,544.7,611.9,-3722.77,271.0,100.2,113.0
142,0,641.99,855.03,183.16,2.9,9157,7323,133.12,246.5,963.0,42.87,1385.1,24816,65.7,610.7,708.8,-7466.37,269.0,103.5,147.0
143,0,654.58,869.39,187.83,2.91,10196,7723,155.28,451.16,999.0,43.49,1690.8,29780,69.5,802.2,819.0,-11209.97,267.0,106.8,152.3
144,0,668.18,886.62,190.79,2.88,11602,8350,191.68,501.48,1005.0,44.46,2087.1,36114,75.3,1014.8,997.0,-14953.57,265.0,110.1,165.6
145,0,689.8,905.0,193.31,2.86,14997,10704,231.35,300.0,1084.0,44.94,2478.3,42026,102.0,1213.6,1162.7,72.55,263.0,113.4,169.1
